ID,SociologoveID1,CasopisyID2,Sociologove,Casopisy
184,86,32,Maiwald Karel,Sociologická revue
185,104,32,Obrdlíková Juliana,Sociologická revue
186,112,32,Potužil František,Sociologická revue
187,120,32,Rouček Joseph Slabey,Sociologická revue
188,134,32,Sorokin Pitirim Alexandrovič,Sociologická revue
189,142,32,Šapoval Mykyta,Sociologická revue
190,145,32,Škrach Vasil Kaprálek,Sociologická revue
191,146,32,Šmejkal Karel,Sociologická revue
192,157,32,Trapl Miloslav,Sociologická revue
193,159,32,Uhlíř Antonín,Sociologická revue
194,10,34,Brokl Lubomír,Sociologický časopis / Czech Sociological Review
195,22,34,Filipcová Blanka,Sociologický časopis / Czech Sociological Review
196,32,34,Gál Fedor,Sociologický časopis / Czech Sociological Review
197,33,34,Galla Karel,Sociologický časopis / Czech Sociological Review
198,52,34,Jungmann Bohumil,Sociologický časopis / Czech Sociological Review
199,57,34,Kaláb Miloš,Sociologický časopis / Czech Sociological Review
200,65,34,Klofáč Jaroslav,Sociologický časopis / Czech Sociological Review
201,78,34,Lamser Václav,Sociologický časopis / Czech Sociological Review
202,84,34,Machonin Pavel,Sociologický časopis / Czech Sociological Review
203,90,34,Marušiak Martin,Sociologický časopis / Czech Sociological Review
204,97,34,Možný Ivo,Sociologický časopis / Czech Sociological Review
205,108,34,Petrusek Miloslav,Sociologický časopis / Czech Sociological Review
206,110,34,Porket Josef Ludvík,Sociologický časopis / Czech Sociological Review
207,112,34,Potužil František,Sociologický časopis / Czech Sociological Review
208,119,34,Richta Radovan,Sociologický časopis / Czech Sociological Review
209,124,34,Sedláček Jan,Sociologický časopis / Czech Sociological Review
210,164,34,Vaněk Antonín,Sociologický časopis / Czech Sociological Review
211,175,34,Zich František,Sociologický časopis / Czech Sociological Review
212,86,37,Maiwald Karel,Statistický obzor
213,116,37,Reif Gustav,Statistický obzor
